address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
1241 S Brookhurst St,Used In Error - See Dev2019-00119,[DEV2019-00187] DR EUGENE KIM MEDICAL OFFICE,Commercial,In Review,12/19/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
8148 E Santa Ana Canyon Rd,"71,600 Sqft Interior And Exterior Ti For Target",[DEV2019-00192] TARGET TI,Other,In Review,12/23/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
5037 E Hunter Ave,"New T.I. Of 37,656 Sq. Ft.",[DEV2019-00193] BISCO INDUSTRIES,Industrial,In Review,12/24/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
128 N Tustin Ave,Coversion Of Pool House Into 2 Bedroom Apartment Unit With 4 On-Site Parking Spaces,[DEV2019-00200],Residential,In Review,12/26/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
400 W Disney Way 193,"T.I. New Restaurant 6, 451 Sq. Ft.",[DEV2019-00201] IMLI GARDEN WALK,Commercial,In Review,12/27/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1562 W Embassy St,A Request For A Minor Conditional Use Permit To Permit Minor Auto Repair Services In An Existing Industrial Building.,One Way Auto Repair and Service,Commercial,In Review,1/7/2020,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1827 W Katella Ave A,A Minor Conditional Use Permit To Permit Beer And Wine Sales In Conjunction With A Restaurant,[DEV2020-00006] SARAHI'S MEXICAN GRILL,Commercial,Approved,1/9/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2040 S State College Blvd,"Construct A Mixed-Use Project Consisting Of 947 Residential Units And 25,000 Sq. Ft. Of Commercial Space Within The Platinum Triangle",[DEV2020-00019] 2050 S STATE COLLEGE,Other,In Review,1/29/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
501 S Olive St,The Applicant Requests Approval Of A Fence Height Variance To Construct A Six Foot High Concrete Block Wall Within The Required Front Yard Setback Of An Existing Industrial Property.,[DEV2020-00020] 501 S. OLIVE STREET,Industrial,Approved,1/30/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2300 E Winston Rd,A Conditional Use Permit To Permit A Truck Operations And Maintenance Facility With Fuel Dispensing,[DEV2020-00023] RL CARRIERS ANAHEIM NEW SERVIC,Other,In Review,2/5/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1807 W Elm Ave B,Second Unit,[DEV2020-00024] ADU,Residential,In Review,2/7/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1765 W Penhall Way,Tenant Improvement,[DEV2020-00025] TENANT IMPROVEMENT,Industrial,In Review,2/7/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1443 N Buckingham St B,Attached Garage Conversion Of 437 Sq. Ft.,[DEV2020-00033] JADU,Residential,In Review,2/14/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2664 W Winston Rd,Attached Garage Conversion,[DEV2020-00035] ATTACHED ADU,Residential,In Review,2/14/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1225 S Euclid St,Request To Permit Sales Of Beer And Wine For On Premesis Consumption In An Existing Restaurant,[DEV2020-00036] TYPE 41 ON SALE BEER AND WINE,Commercial,Approved,2/18/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1731 W Medical Center Dr 6,The Applicant Requests Approval Of The Following Zoning Entitlements: (I) An Amendment To A Conditional Use Permit To Permit The Conversion Of Eleven Assisted Living Units To Sixteen Memory Care Units At An Existing Assisted Living Facility; And (Ii) An Administrative Adjustment To Permit Less Parking Spaces Than Required By The Anaheim Municipal Code.,[DEV2020-00037] EMERALD COURT,Residential,Approved,2/18/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1045 N Armando St E,The Applicant Requests Approval To Permit A Homebrewing Retail Supply Store With Sales Of Beer And Wine For On And Off-Premises Consumption Within An Existing Industrial Building (Windsor Homebrew Supply).,[DEV2020-00038] WINDSOR HOMEBREW SUPPLY CO,Other,Approved,2/18/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
921 N Philadelphia St,Proposed 2715 Sf Single Family Home,[DEV2020-00044] NEW SINGLE FAMILY HOME,Residential,In Review,2/26/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1271 S Talt Ave,"Roughly 2,000 Sf Addition Of Enclosed Storage Building",[DEV2020-00047] STORAGE BUILDING ADDITION,Other,In Review,2/27/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
201 W Katella Ave,Request To Permit The Sales Of Beer And Wine For Off-Premises Consumption At A Market Within A Timeshare Property.,[DEV2020-00050] THE MARKET/GALA MARKETPLACE,Commercial,In Review,2/28/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
613 S Anaheim Blvd,Minor Cup For Liquor License,[DEV2020-00052] ORIGINAL TONYS DELI LIQUOR LIC,Commercial,In Review,3/2/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1256 N Magnolia Ave,"Case Created In Error, Reference Dev2019-00146",[DEV2020-00053] GOODMAN TI,Industrial,In Review,3/2/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1242 E South St,Conversion Of Garage Into An Accessory Dwelling Unit.,[DEV2020-00060] SOUTH ADU,Residential,In Review,3/5/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
6421 E Via Arboles,"New 4,079 Sqft Sfd With Attached 529 Sqft Two-Car Garage",[DEV2020-00061],Residential,In Review,3/6/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2400 E Katella Ave,Minor Conditional Use Permit To Permit A School Of Physchology Within An Office Building,[DEV2020-00065] CHICAGO SCHOOL OF PSYCHOLOGY,Commercial,Approved,3/12/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
212 E Susanne St B,Garage Conversion To Create Second Unit,[DEV2020-00073] 212 E SUSANNE SECOND UNIT,Residential,In Review,3/17/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
30 E Orangethorpe Ave,Request To Construct A New Service Station With A Convenience Store With Sales Of Beer And Wine For Off-Premises Consumption,[DEV2020-00081] 7-ELEVEN AND SERVICE STATION,Other,In Review,4/6/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
555 N Euclid St,"The Applicant Requests Approval Of A Conditional Use Permit To Construct A New 2,500 Square Foot Coffee Shop With A Drive-Through Lane And Outdoor Patio. ",[DEV2020-00083] STARBUCKS,Commercial,Approved,4/8/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1440 S Anaheim Blvd,An Appeal Of The Planning Director'S Approval Of A Minor Conditional Use Permit To Permit Paid And Unpaid Public Parking Spaces Within The Existing Parking Lot Of The Anaheim Indoor Marketplace.,[DEV2020-00087] ANAHEIM INDOOR MARKETPLACE,Commercial,Approved,5/1/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1912 S Jacaranda St,The Applicant Requests Approval Of A Conditional Use Permit To Permit A Coordinated Sign Program For The Revo Mixed Use Development.,[DEV2020-00091] REVO COORDINATED SIGN PROGRAM,Commercial,Approved,5/11/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
611 E Cerritos Ave,"Tenant Improvement: 5,765 Sq.Ft To Reconfigure Existing Show Room And Office Space, Demo Office Space To Existing Warehouse.",[DEV2020-00092] COSENTINO CENTER ANAHEIM,Industrial,In Review,5/13/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
3939 E Coronado St,"Cdr Review To Demolish An Existing Building And Constructy A New 169,000 S.F. Warehouse And Accessory Offices",[DEV2020-00096] CORONADO INDUSTRIAL,Industrial,In Review,5/21/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
6268 E Rio Grande Dr,Request For A Tentative Parcel Map To Permit A Four-Lot Single-Family Residential Subdivision And A Variance To Permit A Retaining Wall With A Height Greater Than Permitted By Code.,[DEV2020-00097] RIO GRANDE SUBDIVISION,Residential,In Review,5/21/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1272 E La Palma Ave,Gpa To Redesigate From Low Medium Density Residential To Medium Density Residential And A Variance To Reduce Setbacks To Construct An 18 Unit Apartment Complex,[DEV2020-00098] 1272 E LA PALMA APARTMENTS,Residential,In Review,5/25/2020,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
110 W Midway Dr,Created In Error - Do Not Use,[DEV2020-00101] ENCORE ANAHEIM TOWNHOMES,Residential,In Review,6/1/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2530 W La Palma Ave,Variance To Permit A 6-Foot High Fence Within The Front Setback Of An Existing Church,[DEV2020-00102] CHURCH IN ANAHEIM FENCE,Commercial,In Review,6/1/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
632 N East St,The Applicant Requests Approval Of A Conditional Use Permit To Establish A Supportive And Transitional Housing Facility For Up To 25 Residents In An Existing Single-Family Residence.,[DEV2020-00106] COVENANT HOUSE ANAHEIM,Other,Approved,6/9/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1751 N Prelude Dr B,Conversion Of A Existing Garage 455 Sf,[DEV2020-00107] ADU,Residential,In Review,6/10/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2232 E Olmstead Way,The Applicant Requests Approval Of A Conditional Use Permit To Increase The Number Of Residents In An Existing Transitional Housing Facility From Six Residents As Permitted By-Right To Thirteen Residents Within A Single Family Residence.,[DEV2020-00109] GRANDMA'S HOUSE OF HOPE,Other,Approved,6/15/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1941 E Center St,Cdr Review To Expand An Existing Assisted Living Facility,[DEV2020-00113] ASSISTED LIVING EXPANSIONCDR,Residential,Withdrawn,6/16/2020,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
2695 E Katella Ave,"Request To Permit A Mixed-Use Project In The Platinum Triangle Consisting Of 1,500 Residential Units, 490,000 Square Feet Of Commercial Space, 492,000 Square Feet Of Office Space, 2 Hotels Consisting Of 550 Rooms, And 20 Acres Of Open Space Including A 4.5-Acre Public Park.",[DEV2020-00125] OC VIBE,Other,Approved,6/23/2020,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
1200 S Phoenix Club Dr,"Permit A Mixed-Use Development Consisting Of 15,000 Sq. Ft. Of Commercial Uses, 1,320 Residential Units, And 204,335 Sq. Ft. Of Open Space",[DEV2020-00126] BALL ROAD MIXED-USE DEV,Mixed Use,In Review,6/23/2020,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
2000 E Gene Autry Way,A Vesting Tentative Tract Map No. 19146 For A Subdivision Of The 150.4 Acre Site For The Redevelopment Of Angels Stadium.,[DEV2020-00127A] ANGEL STADIUM REDEVELOPMENT,Other,In Review,3/31/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1522 W Embassy St,"The Applicant Requests Approval Of A Conditional Use Permit To Establish An Automotive Repair Facility Within An Existing Industrial Building, A Variance To Permit Fewer Parking Spaces Than Required By The Anaheim Municipal Code, And A Shared Parking Agreement For Off-Site Employee Parking.",[DEV2020-00129] MILLS COLLISION CENTER,Other,Approved,6/24/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1240 S State College Blvd 135,Mcup To Establish A Vocational School Within An Existing Office Building,[DEV2020-00130] CAL CAREER INSTITUTE,Commercial,Approved,6/24/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2790 W Lincoln Ave,The Applicant Requests Approval Of A Conditional Use Permit To Permit An Automotive Service Station And A New Convenience Store With Sales Of Beer And Wine For Off-Premises Consumption (Type 20 Off-Sale Abc License) And A Determination Of Public Convenience Or Necessity To Permit The Sales Of Alcoholic Beverages For Off-Premises Consumption For The New Convenience Market (7-Eleven).,[DEV2020-00131] 7-ELEVEN,Commercial,Approved,6/25/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2230 E Lincoln Ave,11899 Sqft Ti For New Retail Store (Wss),[DEV2020-00143] WSS,Other,In Review,7/6/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
255 N Anaheim Blvd,"A Substantial Conformance Request To Convert 11,136 Of Commercial Space To 11 Live/Work Units In An Existing Mixed Use Development.",[DEV2020-00146] ALEXAN CENTER CITY,Other,Approved,7/7/2020,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
301 N Anaheim Blvd,"Permit A 22,605 Sq. Ft. Private School On A 1.38 Acre Property In The C-G, T, And Rm-4 Zones",[DEV2020-00147] VIBRANT MINDS CHARTER SCHOOL,Commercial,Withdrawn,7/8/2020,CNGUYEN2@ANAHEIM.NET,(714) 765-4942,Anaheim,Christine Nguyen
1720 W La Palma Ave,"New 14,323 Sf T.I.",[DEV2020-00153] DOLLAR TREE,Other,In Review,7/14/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
717 S Sonya Pl,A Conditional Use Permit To Permit Transitional Housing For Up To 8 People,[DEV2020-00157] SONIA'S SANCTUARY,Other,Withdrawn,7/17/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
801 S State College Blvd,Conceptual Development Review For A 54-Unit Senior Affordable Residential Project,[DEV2020-00161] ST COLLEGE AFFORDABLE SENIOR,Residential,In Review,7/21/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
891 S Walnut St,"Conditional Use Permit Amendment To Remodel An Existing Skilled Nursing Facility To Memory Care/Assisted Living, And Independent Senior Living Units",[DEV2020-00163] WALNUT VILLAGE,Residential,Approved,7/24/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1952 W La Palma Ave,The Applicant Requests Approval Of The Following Land Use Entitlements: (I) To Amend A Previously-Approved Conditional Use Permit To Modify Plans For An Existing Baseball Field On The Servite High School Campus; And (Ii) To Amend A Previously-Approved Variance To Permit 50-Foot High Fencing And 60-Foot High Poles Around The Existing Baseball Field Where The Transition Zone Allows A Maximum Fence Height Of 8 Feet.,[DEV2020-00169] SERVITE FENCING,Commercial,Approved,8/3/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
801 E Katella Ave,Fence Height Variance To Construct New Perimeter Fencing For An Existing Office Building,[DEV2020-00170] KATELLA FENCE VARIANCE,Other,Withdrawn,8/3/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1171 N West St,Cdr Review For An Affordable Housing Project,[DEV2020-00173] WEST ST. AFFORDABLE HOUSING,Residential,In Review,8/4/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2558 W Harriet Ln B,Reference Dev2020-00232,[DEV2020-00175] TRUCK JADU,Residential,In Review,8/5/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
821 S State College Blvd,Admin. Zoning Plan Check For New Medical And Retail Building (Pck2020-00163),[DEV2020-00177],Commercial,In Review,8/11/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2411 W La Palma Ave,"17,369 Sf 3rd Floor Renovation",[DEV2020-00179] WEST COAST UNIVERSITY TI,Commercial,In Review,8/13/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2323 W Broadway,Develop 112-Unit Townhome Project On Closed School Site,[DEV2020-00180] MELIA HOMES CONDOS,Residential,Approved,8/14/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
3530 E La Palma Ave,Mcup To Modify A Sign Program For An Existing 4-Story Apartment Complex,[DEV2020-00184] THE OASIS,Residential,In Review,8/18/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
200 S Anaheim Blvd,"Amending Portions Of Ordinance No. 6506, Nunc Pro Tunc, To Correct Clerical Drafting Errors In Ordinance No. 6506, Pertaining To The Amendment Of Certain Sections The Anaheim Municipal Code",[DEV2020-00185A] 2020 CSIP,Commercial,Approved,4/8/2021,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2424 W Ball Rd H,A Minor Conditional Use Permit To Permit Alcohol Sales At An Existing Restaurant,[DEV2020-00203] MARISCOS EL CANGREJO NICE 4,Commercial,In Review,9/10/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
638 N James Pl,Conditional Use Permit To Increase The Number Of Beds At An Existing Senior Living Facility From 6 Beds To 9 Beds.,[DEV2020-00205] OLIVE TREE HOME CARE,Other,Approved,9/10/2020,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
1100 N Euclid St,A Conditional Use Permit To Permit A Hydrogen Fueling Station And A Variance To Permit Fewer Parking Spaces Than Required By Code,[DEV2020-00211] IWATANI HYDROGEN FUELING UPGRA,Commercial,Approved,9/15/2020,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
430 N Gilbert St,The Applicant Requests Approval For A New 85-Foot High Ground-Mounted Stealth Wireless Communications Facility Designed As A Faux Pine Tree.,[DEV2020-00213] COASTAL BUSINESS GROUP,Commercial,Approved,9/15/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
7651 E Corto Rd,New Sfd,[DEV2020-00225],Residential,In Review,9/28/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3901 E Miraloma Ave,Establish A New Auto Dealership In An Existing Industrial Building,[DEV2020-00226] MIRALOMA DEALERSHIP,Other,Approved,9/29/2020,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2571 W La Palma Ave,Conceptual Development Review Of A Proposed Mixed-Use Project On A 1.55 Acre Site,[DEV2020-00247] MAGNOLIA & LA PALMA MIXED USE,Other,In Review,10/12/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1661 W Broadway,"Request To Demolish Two Office Buildings And Permit A General Plan Amendment, Zoning Reclassification, Conditional Use Permit, And Tentative Tract Map To Construct 34 Single-Family Attached Townhomes With Modified Development Standards; And A Development Agreement For A Voluntary Contribution To The City'S Affordable Housing Programs.",AHAHEIM A - BROADWAY TOWNHOMES,Residential,Approved,10/12/2021,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
